,Company,Position
1299,Metso Outotec,"Marketing Manager, Nordics"
1300,Squirro,Multiple roles including Chief Operating Officer and board member
1301,Fiery Growth,Managing Director 
1302,Stealth Biotech Startup,Business Development
1303,Aalto University,Director Of Development
1304,Deloitte Oy,Senior Manager at Transaction Services
1305,Atlantic Bridge Capital LLP,Managing Partner & Co-Founder
1306,Business Finland,Funding Manager
1307,Icebreaker.vc,General Partner
1308,Fortum,Senior Business People Partner
1309,HMD Global,Expansion Lead
1310,Trimble,Senior Software Engineer
1311,Aalto University,Program Manager
1312,Holvi,Director of Technical Operations
1313,Sentralinstituttet for industriell forskning,Hardware
1314,Voima Ventures,Partner
1315,Nordic Morning,Chief Strategy Officer
1316,Reaktor Space Lab,Chief Executive Officer
1317,Sarco Oy,Advisor
1318,UAB NoriuNoriuNoriu,"The company was acquired by ""Laisvalaikio dovanos"". I sold my shares and quit my job."
1319,Nexture Oy,Chief Executive Officer
1320,Stockmann,Chief Sales Officer
1321,RBC Wealth Management,"Director, Intelligence & Automation"
1322,FLIM Services Oü,Business Consultant / Founder
1323,Space Nation,Captain & co-founder
1324,Business Finland,Head of Space
1325,Supercell,Product Lead
1326,City of Helsinki,Senior Business Advisor
1327,JOIN Capital,Founding Partner
1328,Partogo Oy,"CEO, founder"
1329,Alchemist Accelerator,Managing Director
1330,,
1331,Creandum,General Partner
1332,Agder Energi Venture,Porteføljeforvalter/ Portfolio Manager
1333,Oy Hammarén & Co Ab,Managing Director
1334,Aprila Bank ASA,Board Member
1335,Investinor AS,Investment Director
1336,Institute for the Future,"Director, Business Development"
1337,Fondsfinans Kapitalforvaltning,Portfolio Manager
1338,ProVenture Management AS,Partner
1339,Atlantic Bridge,Investment Partner
1340,Hummer Winblad Venture Partners,Managing Director
1341,Rulebreaker Ventures & Gregers Kronborg ApS (but not a venture fond),Business Owner
1342,Taavet+Sten,Partner
1343,Innovation Norway,Program Manager
1344,Mon Tonton,Co-Founder & CEO
1345,inmeta Management Consulting,Partner
1346,Kron,Chair Of The Board Of Directors
1347,Punos Mobile Ltd,Sales Director / Founder / Chairman of the Board
1348,Techstars,Contingent Managing Director - Sustainability
1349,Punos Mobile Ltd,"CEO, Founder"
1350,Hyundai Motor Company,Head of Hyundai CRADLE Berlin
1351,,
1352,Batofin Oy Ab,CEO
1353,Ellun Kanat,Communications Consultant
1354,UHM Uncovering Hidden Meanings,MMM Enabler 
1355,Elisa,"Vice President, Business Development"
1356,Tampereen kaupunki - City of Tampere,ICT Manager
1357,Tiira Robotics Inc,CEO
1358,Rovio Entertainment Ltd.,"VP of Business Development, Games"
1359,Analyse²,Member of the Board 
1360,Gabi ,Founder & CEO
1361,Tangible Growth,"Business development and strategy, Board Member"
1362,Kaltio Technologies Oy,"VP Sales and Marketing, Founder and Chairman of the Board"
1363,Helen,"Vice President, Helen Ventures"
1364,ENCE Esports,CEO
1365,Zero Keyboard,Founder
1366,Innomedica Ltd,"Owner, Executive Chairman"
1367,Hallituspartnerit,Member
1368,ATTACTION Group,CEO/Chairman/Owner/Founder
1369,Readymetrics,CEO & Co-Founder
1370,Fingersoft Ltd,"Chairman, Founder"
1371,Next Games,Chief Marketing Officer
1372,Dodreams Ltd.,CEO
1373,Netguru,Partner
1374,Nitro Games Plc,Design Director
1375,Agnico Eagle Mines Limited,General Manager
1376,Beatshapers,Founder and CEO
1377,Fingersoft,Chief Executive Officer
1378,Novi,Product Manager
1379,NVIDIA,Senior Director of Software Engineering
1380,Zervant,CFO
1381,Traplight Ltd.,Co-Founder / Artist
1382,Traplight Ltd.,Producer
1383,Red Bull Media House,Head of Game Development and Publishing
1384,"Pivotal Software, Inc.","Lead, Agile Practice Leadership Enablement"
1385,Next Games,CEO
1386,Griffin Gaming Partners,Managing Director & Co-founder
1387,Finnvera Oyj,"Senior Vice President, Communications, Marketing and HR"
1388,freelance,Creative Director
1389,Nokia,Corporate Strategy and Development (Head of EMEA & APAC)
1390,Talent Hunters Oy,"Senior Partner, Executive Consultant"
1391,"RoboCorp Technologies, Inc.",Co-founder & COO & Board Member
1392,OPSICON Oy,CEO
1393,Grand Cru Ltd,Co-Founder & Creative Director
1394,Nitro Games Plc,Performance Marketing Manager
1395,Vertical ,"Head of Business Development, founder"
1396,Oy Personal EU United Brains Ltd,"Owner, ""Mr. Personal EU"", takapiru"
1397,Valocare ,Partner / Owner 
1398,Media Strategy,Founder
1399,Aalto University,"Innovation Advisor, Life Science"
1400,Houston Analytics Ltd,"Head of Pricing - Director, Retail and CPG"
1401,The Council of Ethics for Communication in Finland,"Member of the Board,  Deputy Member"
1402,Takeoff Partners,Managing Partner & Cofounder
1403,Business Finland,Executive Assistant
1404,Espoon kaupunki - Esbo stad - City of Espoo,"Chief Specialist, Talent Espoo"
1405,Qualcomm,Vice President Strategy and Analysis
1406,RTB Game Consultancy,Founder
1407,"Founder, CEO",MPH Technologies Oy
1408,Replicon Health Ltd.,"CEO, CSO"
1409,Teleperformance,Customer Service and Sales Agent
1410,Technopolis – More than Squares,Events Coordinator 
1411,02 Taksi,Chief Operating Officer
1412,Treon,Chief Architect
1413,Techstars,"General Manager, Americas-West and Asia Pacific"
1414,Finnvera Oyj,Vice President and Head of Underwriting
1415,Etteplan,Senior Project Manager
1416,Mäkitalo Attorneys Ltd,Partner and Attorney-at-Law
1417,SAS - Scandinavian Airlines,"Key Account Manager, Europe"
1418,VisionPlus Fund,Founder & Partner
1419,Game.tv,"Director Of Partnerships, Europe"
1420,Amazon Web Services (AWS),Gamer
1421,Velfera Design Inc.,CTO
1422,OMD Finland Oy,Managing Director
1423,Guanxi,Partner
1424,Faros & Com,Leadership Development
1425,Iceflake Studios Oy,Senior Programmer
1426,Sedu.fi,"Business Services Manager, business services and apprenticeship training"
1427,Toughbyte Ltd,Founder
1428,Vaisala,Chief Platform Officer
1429,Sähköurakointi voltti OY,CEO
1430,F-Secure Corporation,"Executive Vice President, Consumer Security Business Unit"
1431,UCLA Anderson School of Management,"Executive Director, Master of Science in Business Analytics"
1432,Glaston Corporation,Group ICT Director
1433, -,Retired
1434,Attractive.ai,Founder & CEO
1435,Etlatieto Oy (ETLA's subsidiary),CEO
1436,Fleetonomy.ai,Managing Director
1437,Tenendum Oy,Founder & CEO
1438,Whitepoint Optics,Managing Director
1439,Utopia Analytics Oy,Sales Director
1440,Butterfly Ventures,"Co-founder, Partner"
1441,Innovestor Ventures Ltd,Chairman of the Board
1442,Sports Institute Kisakeskus,Member Board Of Directors
1443,Helsinki Business Hub,Senior Business Advisor
1444,Iiwari Tracking Solution Oy,CEO
1445,Business Finland,Senior Adviser
1446,Start Up Lions Oy,"Partner, Member of Advisory Board"
1447,Sansia Oy,Hankinta-asiantuntija
1448,Adfore Technologies Ltd.,Managing Director
1449,Lexia Attorneys Ltd,Partner
1450,Matti Kari Osakeyhtiö,"Jack of all trades, Owner, Founder"
1451,Sitra,Communications and Public Affairs Lead
1452,Innogiant,Co-founder - Technology & Creative Development
1453,CBA Finland,Managing Director
1454,Sifter Capital ,Chairman Of The Board
1455,The International Mobile Gaming Awards (IMGA),Founder and CEO
1456,ngp capital,Venture Partner
1457,Wizbord,Co-founder & Chief Technology Officer
1458,Glean,Investor
1459,Rovio Entertainment Corporation,Chief Marketing Officer
1460,Zalando SE,"Head of Demand Planning, Strategy & Customer Analytics"
1461,Karma Ventures,Founding Partner
1462,"Oberon Securities, LLC",Managing Director
1463,Silverpeak,Senior Advisor
1464,Mesensei,"Co-Founder, CEO"
1465,Helen,Legal Counsel at Helen & Helen Ventures
1466,Presently retired,"Previously Secretary General, Ph.D (Mol.Biol.)"
1467,"Forcepoint, LLC (Formerly Raytheon|Websense)","Senior Manager, Software Engineering"
1468,Smarp,COO & Co-founder
1469,Smarp,"Co-Founder, CEO"
1470,FNE-Finland Oy,Member of the Board of Directors
1471,Vestra Group,"Founding Partner, Marketing & Communications"
1472,Arvo Sijoitusosuuskunta,CEO
1473,Chamber of Eco Commerce   ,Chief Executive Officer
1474,Enjoy helping,"Retired,"
1475,AriTunes Ltd.,"CEO, Producer"
1476,Translink Corporate Finance,Translink Finland - Partner & CEO
1477,Liikenne- ja viestintävirasto Traficom / Transport- och kommunikationsverket Traficom,Special Adviser at Rail Regulatory Body
1478,MORS Software,CEO
1479,Alumni,Head of International Consulting
1480,Jubiler,Founder
1481,Innovation Manager Finland,CEO
1482,Business Finland,Head of Creative Business Finland
1483,Aalto University,Biodesign 2021 Innovation Fellow at Aalto University
1484,TJK Tietolaite Oy,Owner
1485,Kieloranta Resort,Founder and CEO
1486,Kissconsulting,"Owner, CEO, Writer, Consult & Coach"
1487,Acuris Global,Corporate Development
1488,Spinverse,Senior Consultant - Program Partner to Business Finland Health and Wellbeing programs
1489,Finnish Curling Association,Chairman Of The Board
1490,SOK media,Vice President Marketing
1491,Wirepas,"Chief Executive Officer, Board Director"
1492,Invest in Finland,"Senior Director, Business Development"
1493,Homepage Inkinen.org,Dr.
1494,Looking for new opportunities.,Ex Entrepreneur
1495,Sooma Medical,"CEO, Co-founder"
1496,Miston Oy,"Managing Director, Partner"
1497,Malila Consulting,Business Adviser and Improver
1498,Stealth Biotech Startup,Cofounder
1499,Taboola,Corporate Counsel & Secretary
1500,Moosedog Oy,IPR consultant
1501,Roschier Attorneys Ltd.,Partner
1502,www.wt.fi,"CEO, co-founder"
1503,Innohome Oy,Business Director
1504,Attorneys at Law Lexhill Ltd,"Attorney, Partner"
1505,Yle,U.S. Correspondent
1506,University of Oulu,Assistant Professor in Artificial Intelligence
1507,Phenometrix,CEO & Founder
1508,SW-TECH Oy,Principal Consultant
1509,Business Finland,Senior adviser
1510,Next Games,UX Designer
1511,Nordea,Head of KYC Operations Mass Market Finland&Estonia
1512,Ben.vc,Angel Investor
1513,Cenfura,Co-Founder
1514,Viestintätoimisto Selander & Co. Oy,Board Member
1515,Finternet Group Oy,Co-Founder
1516,"Qorvo, Inc.",GM IoT BU
1517,Eden Research PLC,CEO
1518,Netprofile Finland,Founder
1519,The Invus Group,Managing Director
1520,SlimPay,"Chief Revenue Officer (CRO), Directeur Général Délégué (Deputy CEO), Board Member"
1521,VTT,Research Professor
1522,SMART Internationalization Oy,CEO
1523,Efecte Corp.,Sales Manager /Enterprise Saas Services
1524,Reaktor,CEO
1525,Aalto University,Creative Producer
1526,Biohacker Center,"Chief Biohacker, Chairman of the Board"
1527,LähiTapiola Pääkaupunkiseutu,Board Member
1528,Helsingin kaupunki – Helsingfors stad – City of Helsinki,Consultant
1529,Efecte Plc,Chairman of the Board
1530,Hannes Snellman,Partner
1531,IguanaBee,Lead Programmer
1532,M-Files Corporation,Vice President of Finance
1533,Tampere Film Festival,Executive Director
1534,iGi / indie Game incubator,Co-Founder
1535,FakeFish Oy,Business Developer
1536,Viking Venture,Partner
1537,StarIT Oy,"CEO, Partner"
1538,Kukouri Mobile Entertainment,"Co-Founder, CEO"
1539,Team Action Zone - ActionTrack,CEO
1540,www.timoruohio.fi,CEO
1541,Seriously Digital Entertainment,SVP Game Design / Co-founder
1542,RebelRoam & Flightful,"CSO & Co-Founder, Partnerships and Sales"
1543,Traplight Ltd.,CEO
1544,Fortum,Head of Research and Development
1545,"Eunoia Capital Partners, LLC",Managing Director
1546,Informa Tech, GDC & Gamasutra Sales Manager EMEA & APAC
1547,Xamk - South-Eastern Finland University of Applied Sciences,Senior Lecturer
1548,TBWA\Worldwide,Global Director Of Creative And Content
1549,Kukouri Mobile Entertainment,Chief Commercial Officer (CCO) / Senior Advisor
1550,Business Joensuu Oy,Business Coach
1551,Ringmasters,CEO / Creative Director
1552,"Finland Australia Chamber of Commerce, Inc.","Executive Committee, Secretary"
1553,"Tampere University, Faculty of Education and Culture",Professor of game-based learning
1554,Traplight Ltd.,"Creative Director, Co-Founder"
1555,2K,"VP, Global Creative"
1556,Zynga,"GM, Data and Analytics"
1557,Manna Insect Oy,Co-Founder & CSO
1558,Business Finland,Investment Advisor at Visit Finland
1559,Tampereen kaupunki - City of Tampere,"Yrityskoordinaattori, sote-ala"
1560,Melba Digital Oy,CTO and Head of the board
1561,University of Oulu,Professor of Practice
1562,TactoTek Group,CTO & Co-Founder
1563,Zervant,"Co-founder, COO"
1564,East Wings Ltd,"Managing Partner, Co-Founder"
1565,Matrices One,Founder
1566,Operail,Chief IT and Digitalization Officer
1567,pureinnovation.fi,"Senior Advisor, Market Foresight and Scenarios"
1568,Redstone,"Managing Partner, Nordics"
1569,Business Finland,"Senior Advisor, Enterprise Europe Network (EEN)"
1570,Gofore,"Technical Project Manager, People Person"
1571,Napko,Founder/Owner
1572,Business Finland,"Head of Travel Industry, Invest in Finland"
1573,ConvenientPower,President and Co-Founder
1574,transport2.us,Director
1575,Seeking Alpha,Chief Financial Officer
1576,Glasshouse Helsinki,House Editor-in-chief
1577,EDZCOM,CEO Edzcom
1578,Reaktor,"Chief Financial and Legal Officer, M&A Director"
1579,Sisua_Digital,"Sisua DIgital Oy, CEO, Co-founder"
1580,nok9 AB,CTO
1581,TactoTek Inc.,"Senior Vice President, Field Operations"
1582,Groupe Crédit Agricole,Chief Digital Officer
1583,European Space Agency - ESA,ESA Business Incubation Centre Finland Head
1584,Codasip,VP Sales
1585,Patria,"President, Systems"
1586,Google,"Sr. Engineering Manager, Devices & Services"
1587,Butterfly Ventures,Managing Partner
1588,Turvallisuus- ja kemikaalivirasto (Tukes) - Finnish Safety and Chemicals Agency,Senior Officer
1589,"Bittium Oyj ( Nasdaq, Hki)",Member of the Board
1590,Zynga,Vice President of Operations
1591,Provendia Africa,"Vice President, Business Development"
1592,Triple Eh?,"Founder, Master of the Self Isolated Universe"
1593,Ethica Finland,Managing Partner
1594,Octacell Oy,Sales Manager
1595,OP Financial Group,Head of IPR and Innovation
1596,HELBUS Helsinki School of Business,"President, founder"
1597,RNX,Partner
1598,Soderkulla Mall / Soderkullan Liikekeskus / Soderkulla Affarscentrum,Owner / Managing Director
1599,Elo,"Senior Portfolio Manager, Private Equity"
1600,Routa,Sales Consultant
1601,Flexion Mobile Plc,CEO
1602,WasaLab,CEO
1603,Regional State Administrative Agency,Executive Assistant
1604,CSC - IT Center for Science,Marketing and Communications Director
1605,TactoTek Inc.,SVP Marketing and Business Development
1606,Casambi Technologies Oy,Chief Executive Officer
1607,Finch Capital,Partner
1608,OJSC Surgutneftegas oil refinery,Mandate
1609,XEdu,Co-founder
1610,Finnish Patent and Registration Office (PRH),Quality Manager
1611,OP Financial Group,President and Group CEO
1612,Finnvera Oyj,Manager
1613,Wiredhut,Founder
1614,Monkey Business Pictures,Founder
1615,OpenOcean,"General Partner, CEO and Co-founder"
1616,Pohjois-Savon TE-toimisto,Director
1617,Icebreaker.vc,General Partner
1618,Project Beyond Consortium innovating transport beyond major cities.,Co-Founder
1619,Accountor Finago Oy,"VP, Volume Business, Partnerships and Ecosystem / SME Cluster at Accountor Group"
1620,Aalto University,"Commercialization Expert, CloudXR Project, Department of Computer Science"
1621,A/S Consulting,Entrepreneur
1622,KPMG,"Manager, Corporate Finance"
1623,Helsinki XR Center,Project lead
1624,True North Search,Partner
1625,Verso Capital,Managing Partner
1626,ArcDia International,CEO
1627,Beibamboo,2013 Winner: 40 Women To Watch Over 40
1628, ,Retired
1629,SRV Oyj,"SVP, Communications and Marketing"
1630,Roche,Enterprise Ecosystem Lead
1631,Facebook,"Director, Product Marketing, Mobile and Connectivity"
1632,Licentia Ltd,Controller / Director (Enginering)
1633,HiQ Finland,Frends Integration Fellow
1634,Boston Bruins,Head Performance Coach
1635,Indian Institute of Management Ahmedabad,Professor in Strategy and Economics Areas
1636,Ultrahack,"Chairman of Board, Co-Founder"
1637,Gold&Green Foods Ltd,Chief Innovation Officer
1638,360Visualizer Ltd,"CEO, chairman of the board, and co-founder"
1639,Gorilla Capital Oy,Fund Manager
1640,Block Solutions Oy,Principal Consultant (Southern Africa)
1641,Fun Academy Ltd.,Co-founder
1642,Dewaco Ltd/Econet Group,Managing Director
1643,"Bryan, Garnier & Co",Partner & Head of DACH
1644,"Independant advisory services, EU Commission",Independent Advisor External Expert/ Advisor
1645,Gajewski Family Society Finland,Member of the Board
1646,Hocon Invest Oy,CEO
1647,Danske Bank,Senior Banker
1648,.,International Sales and Business Development
1649,"Magsort, Ltd.",CEO
1650,Häykkä,"Senior Advisor, Entrepreneur"
1651,,
1652,Seacrest,Partner
1653,Finnish Institute of Occupational Health - Työterveyslaitos,"Director General, Professor"
1654,Nordic Business House,"Co-Founder & Senior Director, Busines Development"
1655,Musopia Oy,CEO
1656,Bitbar,Founder and COO
1657,City of Vancouver,Social Planner
1658,Kauppiasosuuskunta Veikon Kone,Product Group Manager
1659,Justeria Attorneys Ltd.,"Attorney, Partner"
1660,Finnvera Oyj,"Development adviser, Digitalisation / PMO"
1661,Unity Technologies,Manager / Data Science
1662,VoIPit Oy,CIO
1663,If Insurance,Partner Development Manager
1664,Agfa HealthCare,Consultant technique
1665,Steinheide,CEO / Founder
1666,VEIL.AI,Chief Executive Officer
1667,Arctic Operations,Chief Executive Officer and owner
1668,DFJ Growth,"Founder & Partner, DFJ Growth"
1669,Apix Messaging Oy,Chairman of the Board
1670,.,.
1671,Athensmed,CEO and Angel Investor
1672,TeliaSonera AB,Senior Investment Manager
1673,Private Capital Development ,Chief Development Officer
1674,Youredi,CEO
1675,Sovelto Oyj,Managing Director and Partner
1676,Freelance,Senior Economist
1677,Claned Group,CEO & Founder
1678,Söderlind & Co AB,Professional
1679,Sähköasennukset Tuomas Luoma,Sähkötöiden johtaja. Electrical work Manager
1680,Veraventure Oy,Managing Director
1681,Swedium Global Services AB,"Director, Sales"
1682,Amcham Finland,CEO
1683,San Francisco Oy,Communications Strategy Director
1684,,
1685,"Sourcing, Quality, Change Management & Development",Looking for new job position
1686,Lemmikkimedia,Founder & Partner
1687,Causalus,Vice President of Growth
1688,Aalto University,Innovation Fellow
1689,CosmEthics,"CEO, founder"
1690,Taskut Communications,"Service Designer, Account Management"
1691,Business Finland,Commercial Counsellor
1692,Digia Plc,Vice Chairman Of The Board
1693,Helen,CEO
1694,Orion Corporation,"Director, Strategic Partnership Account "
1695,Varjo,"Director, Business Development"
1696,Aalto University,"Senior Adviser, Strategic Services for Research"
1697,Second Leap ,Co-Founder
1698,Process Genius Oy,CEO
1699,SiGN9,Managing Partner & CEO
1700,Swissbank,Manager
1701,Psyykkisen hyvinvoinnin keskus Komppi Oy,CEO
1702,PwC Finland,"Senior Manager, Authorised Public Accountant (KHT)"
1703,giosg.com,CEO / Founder
1704,Adventure Club,Founder & Global CEO
1705,Talouselämä,financial journalist
1706,XoomPoint Corporation,"Director, Technology & Software"
1707,Digia,Business Development Lead
1708,Swisscanto Private Equity,Investment Director at Swisscanto Private Equity
1709,Gebert Production Oy,Factory Controller
1710,Leanware Oy,Sales Director
1711,karma.vc / karma ventures,"Founder, Partner"
1712,Somia Reality Oy,"CEO, Ninchat"
1713,University of Jyväskylä,University Teacher
1714,Hofstede Insights,Partner
1715,Modulight USA,Chief Operations Officer
1716,HyperTechTraxer Oy Finland,Founder - CEO
1717,Teknologiateollisuus - Technology Industries of Finland,Executive Assistant
1718,Pegasor Oy,Managing Director
1719,Style Genome (formerly Spruce Up),Founder CEO
1720,FinChi / Business Finland Oy,Business Development Director / Senior Advisor
1721,Lawli Oy,Juristi I Yrittäjä
1722,Forbes.com,Senior Tech Contributor
1723,Varia Vocational College,Teacher
1724,European Space Agency- Business Incubator Center Finland (ESA Bic Finland),Operations & Communications
1725,"Aalto University School of Science and Technology, Aalto University School of Arts","Executive in Residence, Lecturer"
1726,Forum Virium Helsinki,"Project Manager, Coordinator of AI4Cities PCP project"
1727,MABD,"CEO,  PR & Marketing Expert, Art Gallery Director & Owner"
1728,Zervant,"Co-Founder, CEO"
1729,Iscar Finland Oy,"Managing Director, Partner"
1730,Geniem,CEO & Co-founder
1731,Gofore,Service Architect
1732,NewCo Helsinki / City of Helsinki,"Partnerships, Gaming, XR and BlockChain"
1733,Aalto University Business School,"Professor Innovation, Sustainability and Corporate Entrepreneurship"
1734,Nicklaus Children's Health System,Managing Director - Children's Health Ventures
1735,Brough Golf Club,Retail Salesperson
1736,Business Finland,Head of European Collaboration
1737,Business Finland,Account Manager
1738,"Mexico Market Experts, S.C.",CEO and Founding Partner
1739,RKBS Oy,Individual Multicontributor
1740,Business Finland,"Senior Advisor, Economist"
1741,Triall.io,Advisor/Mentor
1742,Haaga-Helia University of Applied Sciences,Senior Lecturer
1743,EpicTV & Shop,CEO
1744,Suhonen Consulting Oy,Managing Partner
1745,CLIC Innovation Oy,Head of Co-Innovation
1746,Directors Chambers Ltd,"Founder, CEO"
1747,Business Finland,"Head of Industry, Growth Capital"
1748,Kemppi Oy,Product Manager
1749,Guesthouse Husky Oy,"Managing director, owner"
1750,Industrie-Contact AG - Public Relations,CEO & Owner
1751,"Hammarström Puhakka Partners, Attorneys Ltd",Managing partner
1752,Self,koodaava tutkija
1753,K-market Puhakka,Generalist
1754,Datalounges Oy,Managing Director
1755,Unity Technologies,Senior Manager of Product Management
1756,Valo Motion,"Operations Manager, Events and competitions"
1757,Headai,Founder & Chairman
1758,Warrior Coffee Oy Ltd,"CEO, Founder"
1759,Helsingin ja Uudenmaan sairaanhoitopiiri - Hospital District of Helsinki and Uusimaa (HUS),Psychologist
1760,Ministry for Foreign Affairs of Finland,Communications Coordinator
1761,"Embassy of Finland in Tokyo, Ministry for Foreign Affairs of Finland",Press & Culture Counsellor
1762,"Helsinki Centre, St.Petersburg, Russia","Director, Invest-in"
1763,Kurio // The Social Media Age(ncy),"Chief Executive Officer, Partner"
1764,StartUp Health,"StartUp Health Ambassador, Europe & Israel"
1765,Grocialist,Chairman
1766,Wärtsilä,"Business Development Director, Marine Americas"
1767,Sari Ojala Oy,Entrepreneur
1768,Tridify,CEO
1769,Reventures Group ,Managing Partner
1770,MS&AD Ventures,Managing Partner
1771,EY,"Partner, Technology M&A "
1772,Nordic Semiconductor ASA,Product Manager
1773,Business Finland,"Senior Advisor, Digital Technologies"
1774,Wolt,Head Of Communications and PR
1775,Fingersoft,Producer
1776,Midaxo,"Co-Founder, Member of the Board"
1777,Exakti Intelligence,Partner
1778,Chris Pfaff Tech Media LLC,Founder/CEO
1779,Borenius,Partner
1780,"Pennsylvania Academics of the Fine Arts, PAFA","Student, Continuing Education"
1781,Futureplay Games,"CEO, Co-Founder"
1782,Tempo Music,Managing Director
1783,POP Pankki -ryhmä / POP Bank Group,Communications Specialist
1784,Pro Synthesis Oy - Kehittävää Kumppanuutta ®  ,"Managing Director & Business Owner, HRO/HRD Partner & Executive Coach "
1785,Vestra Group,Founding Partner / Legal 
1786,PURO Finance Oy,Board Member
1787,Yes VC,General Partner
1788,Aallto Wellness Oy,Chief Executive Officer
1789,Stora Enso,"Senior Vice President, Sustainability, Packaging Solutions"
1790,AudioDraft,"CEO, Co-Founder"
1791,Tekes,"Director for funding, Large companies and public research"
1792,Delicate Services Oy Ltd,Writer
1793,The Global Capital Guide,The Global Capital Guide
1794,Taustatekijä Oy,Financial Analyst
1795,Dexintel,"Partner, Senior Security Consultant"
1796,Lightheart Entertainment,CEO
1797,Lempea,Site Reliability Engineer
1798,MultiTaction,Chairman Of The Board
1799,Sopra Steria,"Senior Sales Manager, Finland"
1800,Rinne & Partners,Chief Executive Officer
1801,sh gillamor stephens,Managing Director - Deep Tech Practice
1802,Blue Finance Suomi Oy,Chief Executive Officer
1803,CGI,GIS and Remote Sensing specialist
1804,Kanava Tietopalvelut Oy,Chairman Of The Board
1805,TimeFlip,CEO
1806,Play Ventures,LP investor
1807,University of Jyväskylä,"Professor, emeritus"
1808,"Kemianteollisuus ry, The Chemical Industry Federation of Finland",Director General & CEO
1809,Qvantel,"Director, Sales&Accounts EMEA"
1810,Launch Global,Founding Partner
1811,Gorilla Ventures Oy,Founding Partner
1812,Business Finland,Network Lead in Business Ecosystem Unit
1813,TMF,Councel
1814,ANDRITZ,"Project manager, Fiberline Product Group"
1815,Finn-Traffic OyAb,Senior Advisor
1816,Helsinki Business Hub,Senior Business Advisor
1817,Workspace Oy,Board Director
1818,Euteller Oy,"CEO, Founder"
1819,Luova Klaani Oy,CEO
1820,Attendo,Communications Specialist
1821,Chief Medical and Science Officer,Chief Medical and Science Officer
1822,Valo Ventures,Venture Partner
1823,Remedy Entertainment,"CTO, Executive Chairman"
1824,Superhood,Founder & CEO
1825,Nordea Bank Plc,"Branch Manager, Mortgages and Consumer Loans"
1826,Virtuaalitapahtumat.fi,Owner
1827,Predictive and Prescriptive Analytics for Large Enterprises to be launched soon,"Founder, Managing Partner"
1828,Alma Media Corporation,"Senior Vice President, Head of Alma Markets"
1829,Midaxo,"Founder, Chief Product Officer"
1830,Nitro Games Plc,CEO
1831,Tennis2,Head Coach
1832,Nordea,Head of Deposit Products
1833,Digital Boost 360,Founder
1834,"Finland Trade Commission, Embassy of Finland in London","Finland Trade Commission, Embassy of Finland"
1835,Kennotech oy,Chairman of the Board
1836,Naisten Pankki,Shareholder
1837,Pointscene.com,Chairman Of The Board
1838,Turku Science Park Ltd,Senior Project Specialist
1839,Startup Sauna,Coach
1840,Management Institute of Finland MIF Oy,"Sales Team Lead, Cross Selling Team"
1841,Matchmade,"Founder, CEO (WE'RE HIRING!)"
1842,Modcon Oy,Project Manager
1843,Several Companies & Universities,"CXO & BOD at several companies, Visiting Business Development Professor"
1844,Growth Strategy and Funding,Advisor Services
1845,Smartvisio Group Oy,CEO
1846,NewCo Helsinki / City of Helsinki,"Startup advisor, coach and ecosystem service developer"
1847,Snacktime.fi,Sales Director
1848,Ministry of Economic Affairs and Employment,Ministerial Adviser
1849,karma.vc / karma ventures,Founding Partner
1850,Rekrytointi Timo Salmi,Recruitment and HR-Consultant
1851,Business Finland,"Senior Advisor, Investor Services "
1852,Innovestor Ventures,Partner
1853,The Finnish Association of Electrical Safety STEK,Managing Director
1854,Finnish Industry Investment Ltd,Director
1855,Vallum Ltd,Your Partner in Capability Management
1856,Agendium,Advisor
1857,"Oxford Internet Institute, University of Oxford",Professor of Economic Sociology and Digital Social Research
1858,Woimet,Chief Executive Officer
1859,Sentica Partners,Partner
1860,HappyOrNot,Chief Executive Officer
1861,Teknologiateollisuus - Technology Industries of Finland,Head of Entrepreneurship & SME topics
1862,MSG Securities,Managing Director
1863,Observis Oy,CEO & Co-Founder
1864,Play Ventures,Founding Partner
1865,M-Files Corporation,Founder and CEO
1866,mobilive entertainment ltd.,"Owner, CEO  President and Chairman of the board"
1867,"Aalto University, Research and Innovation Services, Start-Up Center","Advisor, Startup Center, Activity lead of EIT Urban Mobility Aalto Accelerator North"
1868,Colliers,CFO (Finland)
1869,Your Triple Jump Limited,Personal and Business Assistant
1870,RELEX Solutions,CEO and co-founder
1871,Right-Hand Partners,Founder
1872,FWBC-Finland Oy,Managing Director
1873,Supercell,Game Lead
1874,Global Initiatives Partners LLC,Partner
1875,Teollisuuden Voima Oyj,R&D Manager
1876,Redstone,Partner Redstone Nordics
1877,,
1878,Työ- ja elinkeinoministeriö – Ministry of Economic Affairs and Employment (Finland),Ministerial Adviser
1879,Wellbond,Managing Director
1880,Sulava Oy,Co-founder & Group CEO
1881,FA Solutions Oy,Managing Director
1882,High Metal Oy,Chairman & CEO & Owner
1883,Nightingale Health Ltd.,Senior Advisor
1884,Enne Analytics,CEO and Co-Founder
1885,NOFI – Norwegian-Finnish Trade Association,Board Member
1886,OneZeroZerO,CEO
1887,Independent Consultant,Advisor to CEO
1888,Evli Growth Partners,"Managing Partner, Founder"
1889,Korkia,"Director Private Equity, Head of Private Equity"
1890,Trifecta Retail Ventures,Co-founder / Chairman / Majority shareholder
1891,FinlandWay® International Preschools,CEO and Co Founder
1892,Fleet Innovation,"Partner, Adviser to Board"
